nome,grupo_idade,localidade,serie_2000,serie_2010,serie_2022
População,0 a 4 anos,Rondônia,...,...,113450
População,0 a 4 anos,Acre,...,...,71001
População,0 a 4 anos,Amazonas,...,...,351726
População,0 a 4 anos,Roraima,...,...,64752
População,0 a 4 anos,Pará,...,...,632045
População,0 a 4 anos,Amapá,...,...,65666
População,0 a 4 anos,Tocantins,...,...,114383
População,0 a 4 anos,Maranhão,...,...,517099
População,0 a 4 anos,Piauí,...,...,216538
População,0 a 4 anos,Ceará,...,...,574335
População,0 a 4 anos,Rio Grande do Norte,...,...,204705
População,0 a 4 anos,Paraíba,...,...,264885
População,0 a 4 anos,Pernambuco,...,...,593211
População,0 a 4 anos,Alagoas,...,...,228824
População,0 a 4 anos,Sergipe,...,...,148010
População,0 a 4 anos,Bahia,...,...,887805
População,0 a 4 anos,Minas Gerais,...,...,1187024
População,0 a 4 anos,Espírito Santo,...,...,240565
População,0 a 4 anos,Rio de Janeiro,...,...,875769
População,0 a 4 anos,São Paulo,...,...,2467570
População,0 a 4 anos,Paraná,...,...,698133
População,0 a 4 anos,Santa Catarina,...,...,468406
População,0 a 4 anos,Rio Grande do Sul,...,...,609791
População,0 a 4 anos,Mato Grosso do Sul,...,...,199203
População,0 a 4 anos,Mato Grosso,...,...,281538
População,0 a 4 anos,Goiás,...,...,461578
População,0 a 4 anos,Distrito Federal,...,...,166848
População,5 a 9 anos,Rondônia,...,...,117536
População,5 a 9 anos,Acre,...,...,74586
População,5 a 9 anos,Amazonas,...,...,367770
População,5 a 9 anos,Roraima,...,...,63243
População,5 a 9 anos,Pará,...,...,669620
População,5 a 9 anos,Amapá,...,...,67164
População,5 a 9 anos,Tocantins,...,...,117486
População,5 a 9 anos,Maranhão,...,...,547083
População,5 a 9 anos,Piauí,...,...,226124
População,5 a 9 anos,Ceará,...,...,609895
População,5 a 9 anos,Rio Grande do Norte,...,...,220287
População,5 a 9 anos,Paraíba,...,...,276601
População,5 a 9 anos,Pernambuco,...,...,645069
População,5 a 9 anos,Alagoas,...,...,235921
População,5 a 9 anos,Sergipe,...,...,156741
População,5 a 9 anos,Bahia,...,...,965550
População,5 a 9 anos,Minas Gerais,...,...,1257588
População,5 a 9 anos,Espírito Santo,...,...,254280
População,5 a 9 anos,Rio de Janeiro,...,...,1015741
