id,variavel,unidade,categoria_id,categoria_nome,localidade_id,localidade_nome,nivel_id,nivel_nome,ano,valor
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1950,36935
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1960,70783
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1970,116620
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1980,503125
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,1991,1130874
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,2000,1377792
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,11,Rondônia,N3,Unidade da Federação,2010,1562409
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1950,114755
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1960,160208
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1970,218006
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1980,306893
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,1991,417165
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,2000,557226
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,12,Acre,N3,Unidade da Federação,2010,733559
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1950,514099
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1960,721215
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1970,960934
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1980,1449135
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,1991,2102901
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,2000,2813085
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,13,Amazonas,N3,Unidade da Federação,2010,3483985
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1950,18116
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1960,29489
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1970,41638
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1980,82018
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,1991,215950
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,2000,324152
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,14,Roraima,N3,Unidade da Federação,2010,450479
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1950,1123273
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1960,1550935
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1970,2197072
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1980,3507312
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,1991,5181570
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,2000,6189550
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,15,Pará,N3,Unidade da Federação,2010,7581051
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1950,37477
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1960,68889
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1970,116480
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1980,180078
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,1991,288690
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,2000,475843
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,16,Amapá,N3,Unidade da Federação,2010,669526
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1950,204041
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1960,328486
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1970,537563
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1980,738688
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,1991,920116
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,2000,1155913
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,17,Tocantins,N3,Unidade da Federação,2010,1383445
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1950,1583248
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1960,2492139
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1970,3037135
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1980,4097231
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,1991,4929029
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,2000,5642960
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,21,Maranhão,N3,Unidade da Federação,2010,6574789
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1950,1045696
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1960,1263368
"id    606
id      1
Name: 0, dtype: object",População,Pessoas,,,22,Piauí,N3,Unidade da Federação,1970,1734894
